Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
53.22,1.3,1.37,52.58,8.08,6.56,10,1.37,0.72,1.04,0.11,0.63,22.22,10000,5,0.47,0.06
77.64,0.66,1.43,59.76,8.02,6.9,10,1.44,0.82,0.63,0.09,0.78,23.33,10500,10,0.4,0.07
91.56,0.27,1.53,59.32,7.88,7.2,10,1.53,0.84,0.51,0.09,0.81,24.44,11000,15,0.41,0.05
96.3,0.13,1.44,63.44,7.8,7.54,10,1.44,0.85,0.44,0.08,0.84,25.56,11500,20,0.37,0.04
97.08,0.1,1.38,65.1,7.65,7.85,10,1.38,0.86,0.4,0.07,0.85,26.67,12000,25,0.35,0.04
97.32,0.09,1.42,66.7,7.51,8.18,10,1.41,0.87,0.37,0.07,0.86,27.78,12500,30,0.33,0.04
97.63,0.09,1.36,67.5,7.44,8.51,10,1.36,0.87,0.36,0.07,0.87,28.89,13000,35,0.32,0.04
97.85,0.08,1.33,68.18,7.34,8.82,10,1.33,0.87,0.34,0.07,0.87,30.0,13500,40,0.32,0.03
98.07,0.07,1.32,68.24,7.15,9.13,10,1.31,0.87,0.34,0.07,0.87,31.11,14000,45,0.32,0.03
98.35,0.06,1.3,69.42,7.07,9.47,10,1.29,0.88,0.32,0.06,0.88,32.22,14500,50,0.31,0.03
98.36,0.06,1.31,69.82,6.95,9.77,10,1.31,0.88,0.31,0.06,0.89,33.33,15000,55,0.3,0.03
98.43,0.06,1.28,70.72,6.87,10.13,10,1.27,0.88,0.31,0.06,0.88,34.44,15500,60,0.29,0.03
98.33,0.06,1.24,71.38,6.71,10.41,10,1.23,0.88,0.3,0.06,0.89,35.56,16000,65,0.29,0.03
98.45,0.06,1.29,70.3,6.63,10.77,10,1.29,0.88,0.31,0.06,0.88,36.67,16500,70,0.3,0.03
98.72,0.05,1.18,71.88,6.5,11.06,10,1.18,0.88,0.31,0.06,0.89,37.78,17000,75,0.28,0.03
98.82,0.05,1.16,73.1,6.4,11.39,10,1.16,0.88,0.3,0.06,0.89,38.89,17500,80,0.27,0.03
98.69,0.05,1.16,72.84,6.27,11.72,10,1.16,0.88,0.29,0.06,0.89,40.0,18000,85,0.27,0.03
98.04,0.07,1.21,72.28,6.23,12.07,10,1.22,0.88,0.29,0.06,0.89,41.11,18500,90,0.28,0.03
98.63,0.05,1.14,73.2,6.04,12.36,10,1.14,0.88,0.28,0.06,0.9,42.22,19000,95,0.27,0.02
98.99,0.04,1.13,74.42,5.93,12.69,10,1.12,0.89,0.27,0.06,0.9,43.33,19500,100,0.26,0.02
99.08,0.04,1.12,74.54,5.84,13.0,10,1.11,0.89,0.26,0.05,0.9,44.44,20000,105,0.25,0.02
99.14,0.03,1.08,75.04,5.72,13.31,10,1.08,0.89,0.26,0.05,0.9,45.56,20500,110,0.25,0.02
98.92,0.04,1.07,75.32,5.58,13.66,10,1.07,0.89,0.26,0.05,0.9,46.67,21000,115,0.25,0.02
99.13,0.03,1.02,76.16,5.45,13.96,10,1.02,0.89,0.26,0.05,0.9,47.78,21500,120,0.24,0.02
99.19,0.03,1.01,76.42,5.39,14.29,10,1.01,0.89,0.25,0.05,0.91,48.89,22000,125,0.24,0.02
99.15,0.03,1.0,76.08,5.23,14.6,10,1.0,0.89,0.25,0.05,0.91,50.0,22500,130,0.24,0.02
99.27,0.03,0.99,76.26,5.14,14.93,10,0.99,0.89,0.25,0.05,0.91,51.11,23000,135,0.24,0.02
99.25,0.03,1.0,76.92,5.03,15.24,10,1.0,0.89,0.25,0.05,0.91,52.22,23500,140,0.23,0.02
99.3,0.03,1.01,77.02,4.95,15.56,10,1.01,0.89,0.24,0.05,0.91,53.33,24000,145,0.23,0.02
99.3,0.03,0.96,77.34,4.77,15.91,10,0.97,0.89,0.24,0.05,0.91,54.44,24500,150,0.23,0.02
99.4,0.02,0.97,77.62,4.68,16.21,10,0.97,0.89,0.23,0.05,0.91,55.56,25000,155,0.22,0.02
