Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
68.87,0.88,1.62,57.16,-1.0,6.68,-1,1.62,-1.0,0.58,0.09,0.79,22.22,10000,10,0.43,0.07
92.83,0.22,1.26,68.12,8.37,7.97,10,1.26,0.8100000023841858,0.39,0.07,0.86,26.67,12000,20,0.32,0.04
96.19,0.13,1.16,70.88,7.96,9.27,10,1.16,0.8600000143051147,0.33,0.06,0.88,31.11,14000,30,0.29,0.03
96.89,0.11,1.08,72.42,7.39,10.57,10,1.08,0.8700000047683716,0.32,0.06,0.88,35.56,16000,40,0.28,0.03
97.36,0.09,1.05,74.28,6.9,11.88,10,1.05,0.8799999952316284,0.29,0.05,0.89,40.0,18000,50,0.26,0.02
97.72,0.08,0.98,76.14,6.41,13.06,10,0.98,0.8799999952316284,0.27,0.05,0.9,44.44,20000,60,0.24,0.02
97.99,0.07,0.9,77.52,5.9,14.47,10,0.9,0.8799999952316284,0.26,0.05,0.9,48.89,22000,70,0.22,0.01
98.23,0.06,0.87,78.68,5.56,15.81,10,0.87,0.8899999856948853,0.24,0.05,0.91,53.33,24000,80,0.21,0.01
98.48,0.05,0.84,79.28,5.14,17.09,10,0.85,0.8899999856948853,0.23,0.04,0.92,57.78,26000,90,0.21,0.01
98.92,0.04,0.81,80.68,4.61,18.39,10,0.81,0.8899999856948853,0.22,0.04,0.92,62.22,28000,100,0.19,0.01
99.28,0.03,0.79,81.2,4.11,19.67,10,0.8,0.8899999856948853,0.21,0.04,0.92,66.67,30000,110,0.19,0.01
99.64,0.02,0.81,80.78,3.66,20.96,10,0.82,0.8899999856948853,0.2,0.04,0.93,71.11,32000,120,0.19,0.01
99.83,0.01,0.78,81.36,3.18,22.29,10,0.79,0.8799999952316284,0.2,0.04,0.93,75.56,34000,130,0.19,0.01
99.94,0.0,0.77,81.82,2.69,23.6,10,0.78,0.8799999952316284,0.2,0.04,0.93,80.0,36000,140,0.18,0.01
99.97,0.0,0.75,81.6,2.23,24.88,10,0.75,0.8799999952316284,0.2,0.04,0.92,84.44,38000,150,0.18,0.01
99.99,0.0,0.73,81.64,1.79,26.16,10,0.73,0.8799999952316284,0.21,0.04,0.92,88.89,40000,160,0.18,0.01
100.0,0.0,0.72,81.6,1.3,27.49,10,0.73,0.8700000047683716,0.21,0.04,0.92,93.33,42000,170,0.18,0.01
100.0,0.0,0.7,81.72,0.86,28.82,10,0.71,0.8700000047683716,0.23,0.04,0.92,97.78,44000,180,0.18,0.01
99.98,0.0,0.82,79.34,0.34,29.46,10,0.83,0.8700000047683716,0.24,0.04,0.91,100.0,45000,190,0.21,0.02
