Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
53.05,1.29,1.35,54.42,8.09,6.59,10,1.36,0.76,1.0,0.11,0.64,22.22,10000,5,0.46,0.07
77.59,0.66,1.16,62.02,7.99,6.9,10,1.17,0.82,0.72,0.09,0.74,23.33,10500,10,0.38,0.04
93.52,0.21,1.39,63.42,7.93,7.21,10,1.4,0.84,0.48,0.08,0.83,24.44,11000,15,0.37,0.04
96.83,0.11,1.34,65.96,7.82,7.54,10,1.34,0.86,0.43,0.07,0.84,25.56,11500,20,0.34,0.04
97.25,0.09,1.33,66.2,7.67,7.86,10,1.34,0.86,0.38,0.07,0.86,26.67,12000,25,0.34,0.04
97.52,0.09,1.33,66.72,7.55,8.17,10,1.33,0.87,0.38,0.07,0.86,27.78,12500,30,0.33,0.04
97.6,0.08,1.26,68.22,7.47,8.5,10,1.26,0.87,0.37,0.07,0.86,28.89,13000,35,0.32,0.03
98.27,0.06,1.26,68.52,7.31,8.82,10,1.26,0.87,0.35,0.07,0.87,30.0,13500,40,0.31,0.03
98.58,0.05,1.2,69.84,7.2,9.13,10,1.2,0.87,0.35,0.06,0.87,31.11,14000,45,0.3,0.03
98.45,0.06,1.16,71.28,7.11,9.48,10,1.16,0.87,0.33,0.06,0.88,32.22,14500,50,0.29,0.03
98.26,0.06,1.19,70.32,6.95,9.79,10,1.19,0.87,0.33,0.06,0.88,33.33,15000,55,0.3,0.03
98.48,0.06,1.15,71.66,6.84,10.12,10,1.15,0.88,0.32,0.06,0.88,34.44,15500,60,0.28,0.03
98.63,0.05,1.14,71.82,6.75,10.44,10,1.14,0.88,0.31,0.06,0.88,35.56,16000,65,0.28,0.03
98.69,0.05,1.14,71.84,6.6,10.78,10,1.13,0.88,0.31,0.06,0.89,36.67,16500,70,0.28,0.03
98.73,0.05,1.09,73.48,6.51,11.06,10,1.09,0.88,0.3,0.06,0.89,37.78,17000,75,0.27,0.02
98.68,0.05,1.14,72.8,6.4,11.41,10,1.14,0.88,0.3,0.06,0.89,38.89,17500,80,0.27,0.03
98.82,0.05,1.1,74.16,6.27,11.71,10,1.1,0.88,0.29,0.06,0.89,40.0,18000,85,0.26,0.02
98.69,0.05,1.28,70.9,6.15,12.05,10,1.28,0.88,0.3,0.06,0.89,41.11,18500,90,0.29,0.03
98.18,0.06,1.08,74.46,6.07,12.37,10,1.08,0.88,0.29,0.06,0.9,42.22,19000,95,0.26,0.02
98.99,0.04,1.06,74.6,5.95,12.68,10,1.06,0.88,0.28,0.05,0.9,43.33,19500,100,0.25,0.02
98.97,0.04,1.0,75.78,5.81,13.0,10,1.0,0.89,0.27,0.05,0.9,44.44,20000,105,0.24,0.02
99.11,0.03,1.02,75.8,5.71,13.34,10,1.02,0.89,0.26,0.05,0.9,45.56,20500,110,0.24,0.02
98.9,0.04,1.11,74.08,5.57,13.65,10,1.11,0.89,0.26,0.06,0.9,46.67,21000,115,0.26,0.02
98.97,0.04,1.0,75.66,5.5,13.96,10,0.99,0.89,0.27,0.05,0.9,47.78,21500,120,0.24,0.02
99.19,0.03,1.01,75.86,5.4,14.3,10,1.01,0.89,0.25,0.05,0.91,48.89,22000,125,0.24,0.02
99.18,0.03,1.0,76.76,5.28,14.62,10,1.0,0.89,0.25,0.05,0.91,50.0,22500,130,0.23,0.02
99.16,0.03,0.98,76.74,5.14,14.96,10,0.98,0.89,0.25,0.05,0.91,51.11,23000,135,0.23,0.02
99.17,0.03,0.97,77.38,5.08,15.28,10,0.98,0.89,0.24,0.05,0.91,52.22,23500,140,0.23,0.02
99.29,0.03,0.94,77.4,4.94,15.61,10,0.94,0.89,0.24,0.05,0.91,53.33,24000,145,0.23,0.02
99.26,0.03,0.95,77.16,4.83,15.9,10,0.95,0.89,0.24,0.05,0.91,54.44,24500,150,0.23,0.02
99.32,0.03,0.94,78.52,4.7,16.21,10,0.93,0.89,0.24,0.05,0.91,55.56,25000,155,0.21,0.02
