Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
68.39,0.89,1.52,55.72,-1.0,6.35,-1,1.51,-1.0,0.66,0.1,0.76,22.22,10000,10,0.44,0.05
93.62,0.2,1.29,66.14,7.89,7.59,10,1.29,0.8199999928474426,0.42,0.07,0.85,26.67,12000,20,0.34,0.03
97.46,0.09,1.2,68.72,7.38,8.83,10,1.2,0.8600000143051147,0.37,0.07,0.86,31.11,14000,30,0.31,0.03
98.06,0.07,1.16,70.68,6.95,10.08,10,1.16,0.8700000047683716,0.34,0.06,0.88,35.56,16000,40,0.29,0.03
98.41,0.06,1.14,72.24,6.52,11.34,10,1.14,0.8700000047683716,0.32,0.06,0.88,40.0,18000,50,0.28,0.02
98.64,0.05,1.07,73.8,6.04,12.57,10,1.08,0.8700000047683716,0.3,0.06,0.89,44.44,20000,60,0.26,0.02
98.82,0.04,0.99,74.64,5.59,13.82,10,1.0,0.8700000047683716,0.29,0.05,0.89,48.89,22000,70,0.25,0.02
98.95,0.04,0.99,75.46,5.16,15.08,10,1.0,0.8700000047683716,0.27,0.05,0.9,53.33,24000,80,0.25,0.02
99.07,0.04,0.97,76.26,4.74,16.3,10,0.97,0.8799999952316284,0.26,0.05,0.9,57.78,26000,90,0.24,0.02
99.09,0.03,0.91,77.56,4.27,17.56,10,0.91,0.8799999952316284,0.26,0.05,0.91,62.22,28000,100,0.22,0.02
99.31,0.03,0.85,78.8,3.84,18.8,10,0.85,0.8799999952316284,0.25,0.05,0.91,66.67,30000,110,0.21,0.02
99.26,0.03,0.84,79.1,3.4,20.03,10,0.85,0.8799999952316284,0.24,0.05,0.91,71.11,32000,120,0.21,0.01
99.35,0.03,0.86,79.34,2.98,21.3,10,0.87,0.8799999952316284,0.23,0.04,0.92,75.56,34000,130,0.21,0.02
99.34,0.02,0.81,80.38,2.52,22.54,10,0.81,0.8799999952316284,0.22,0.04,0.92,80.0,36000,140,0.2,0.01
99.38,0.02,0.79,80.22,2.11,23.79,10,0.8,0.8799999952316284,0.22,0.04,0.92,84.44,38000,150,0.2,0.01
99.41,0.02,0.73,81.58,1.65,25.05,10,0.74,0.8799999952316284,0.22,0.04,0.92,88.89,40000,160,0.18,0.01
99.44,0.02,0.74,81.46,1.21,26.39,10,0.74,0.8799999952316284,0.22,0.04,0.92,93.33,42000,170,0.19,0.01
99.46,0.02,0.71,82.66,0.84,28.24,10,0.71,0.8799999952316284,0.21,0.04,0.92,97.78,44000,180,0.17,0.01
99.62,0.02,0.7,83.06,0.37,28.91,10,0.71,0.8799999952316284,0.21,0.04,0.92,100.0,45000,190,0.17,0.01
