Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
53.51,1.27,1.3,56.44,8.08,6.57,10,1.31,0.77,0.93,0.1,0.67,22.22,10000,5,0.44,0.06
79.61,0.61,1.41,58.44,8.05,6.9,10,1.41,0.81,0.63,0.09,0.77,23.33,10500,10,0.42,0.05
93.44,0.21,1.32,64.34,7.84,7.22,10,1.33,0.84,0.48,0.08,0.82,24.44,11000,15,0.36,0.04
97.16,0.1,1.26,67.06,7.75,7.53,10,1.26,0.86,0.42,0.07,0.84,25.56,11500,20,0.33,0.03
98.04,0.07,1.28,67.74,7.63,7.86,10,1.28,0.86,0.38,0.07,0.86,26.67,12000,25,0.32,0.03
98.15,0.07,1.26,68.9,7.57,8.16,10,1.27,0.87,0.36,0.07,0.87,27.78,12500,30,0.31,0.04
97.83,0.08,1.37,67.54,7.39,8.49,10,1.38,0.86,0.36,0.07,0.87,28.89,13000,35,0.32,0.04
98.65,0.05,1.23,70.42,7.31,8.81,10,1.23,0.87,0.33,0.06,0.88,30.0,13500,40,0.3,0.03
99.0,0.04,1.18,71.44,7.22,9.14,10,1.19,0.87,0.32,0.06,0.88,31.11,14000,45,0.29,0.03
99.05,0.04,1.2,71.32,7.05,9.47,10,1.2,0.87,0.31,0.06,0.89,32.22,14500,50,0.29,0.03
99.15,0.04,1.23,71.08,6.95,9.79,10,1.23,0.87,0.3,0.06,0.89,33.33,15000,55,0.29,0.03
99.27,0.03,1.17,72.64,6.82,10.13,10,1.17,0.87,0.29,0.06,0.89,34.44,15500,60,0.27,0.03
99.29,0.03,1.14,73.0,6.71,10.42,10,1.14,0.87,0.31,0.06,0.89,35.56,16000,65,0.27,0.02
99.21,0.03,1.14,73.02,6.64,10.74,10,1.15,0.87,0.29,0.06,0.89,36.67,16500,70,0.27,0.02
99.41,0.03,1.12,73.44,6.52,11.06,10,1.13,0.87,0.29,0.06,0.89,37.78,17000,75,0.27,0.02
99.35,0.03,1.13,73.54,6.38,11.41,10,1.14,0.87,0.28,0.06,0.9,38.89,17500,80,0.26,0.02
99.38,0.03,1.12,73.88,6.26,11.72,10,1.12,0.87,0.27,0.06,0.9,40.0,18000,85,0.26,0.02
98.0,0.07,1.25,71.42,6.16,12.05,10,1.26,0.87,0.29,0.06,0.89,41.11,18500,90,0.29,0.03
98.77,0.05,1.07,74.74,6.05,12.37,10,1.08,0.87,0.28,0.05,0.9,42.22,19000,95,0.25,0.03
99.5,0.02,1.04,75.24,5.98,12.71,10,1.05,0.87,0.26,0.05,0.9,43.33,19500,100,0.25,0.02
99.49,0.02,1.12,74.08,5.82,13.01,10,1.12,0.87,0.26,0.05,0.9,44.44,20000,105,0.26,0.03
99.5,0.02,1.05,75.96,5.7,13.34,10,1.05,0.88,0.26,0.05,0.91,45.56,20500,110,0.24,0.02
99.48,0.02,1.07,75.3,5.62,13.64,10,1.07,0.87,0.26,0.05,0.9,46.67,21000,115,0.25,0.02
99.56,0.02,1.05,75.8,5.49,13.97,10,1.05,0.88,0.26,0.05,0.9,47.78,21500,120,0.24,0.02
99.53,0.02,1.01,75.66,5.39,14.29,10,1.02,0.87,0.25,0.05,0.91,48.89,22000,125,0.24,0.02
99.61,0.02,1.03,75.98,5.24,14.61,10,1.03,0.88,0.25,0.05,0.91,50.0,22500,130,0.24,0.02
99.52,0.02,1.02,76.2,5.14,14.93,10,1.03,0.88,0.25,0.05,0.91,51.11,23000,135,0.24,0.02
99.47,0.02,1.01,76.24,5.01,15.27,10,1.01,0.88,0.25,0.05,0.91,52.22,23500,140,0.24,0.02
99.54,0.02,0.98,76.4,4.91,15.58,10,0.99,0.88,0.25,0.05,0.91,53.33,24000,145,0.24,0.02
99.64,0.02,0.97,76.98,4.8,15.91,10,0.97,0.88,0.25,0.05,0.91,54.44,24500,150,0.23,0.02
99.63,0.02,0.97,77.2,4.69,16.23,10,0.97,0.88,0.24,0.05,0.91,55.56,25000,155,0.23,0.02
