Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
68.67,0.89,1.74,54.68,7.88,6.37,10,1.73,0.82,0.56,0.1,0.79,22.22,10000,10,0.45,0.06
93.68,0.2,1.56,62.92,7.74,6.7,10,1.53,0.85,0.42,0.08,0.84,23.33,10500,20,0.37,0.04
99.79,0.01,1.36,66.32,7.63,7.0,10,1.34,0.86,0.39,0.07,0.86,24.44,11000,30,0.34,0.04
100.0,0.0,1.38,66.14,7.54,7.3,10,1.36,0.86,0.39,0.07,0.86,25.56,11500,40,0.34,0.04
99.98,0.0,1.4,65.84,7.56,7.63,10,1.38,0.86,0.38,0.07,0.86,26.67,12000,50,0.34,0.04
99.98,0.0,1.42,66.2,7.32,7.96,10,1.39,0.86,0.38,0.07,0.86,27.78,12500,60,0.34,0.04
99.9,0.01,1.47,65.96,7.16,8.24,10,1.44,0.86,0.37,0.07,0.87,28.89,13000,70,0.34,0.04
99.97,0.0,1.43,65.8,7.09,8.55,10,1.41,0.86,0.37,0.07,0.87,30.0,13500,80,0.34,0.04
99.96,0.0,1.42,66.26,6.96,8.86,10,1.4,0.86,0.38,0.07,0.86,31.11,14000,90,0.34,0.04
99.96,0.0,1.44,66.64,6.86,9.18,10,1.42,0.86,0.36,0.07,0.87,32.22,14500,100,0.33,0.04
99.91,0.01,1.44,67.06,6.72,9.5,10,1.42,0.86,0.36,0.07,0.87,33.33,15000,110,0.33,0.04
99.8,0.01,1.46,66.22,6.66,9.81,10,1.45,0.86,0.37,0.07,0.87,34.44,15500,120,0.34,0.04
99.9,0.01,1.43,66.54,6.59,10.13,10,1.42,0.86,0.35,0.07,0.87,35.56,16000,130,0.33,0.04
99.82,0.01,1.4,66.94,6.49,10.45,10,1.39,0.86,0.35,0.07,0.87,36.67,16500,140,0.33,0.04
99.92,0.0,1.41,67.36,6.36,10.78,10,1.39,0.86,0.35,0.07,0.87,37.78,17000,150,0.33,0.04
99.9,0.01,1.43,67.32,6.17,11.06,10,1.41,0.86,0.34,0.07,0.87,38.89,17500,160,0.33,0.04
99.71,0.01,1.38,67.98,6.1,11.38,10,1.37,0.86,0.34,0.07,0.88,40.0,18000,170,0.32,0.04
98.48,0.05,1.43,67.34,6.02,11.71,10,1.42,0.85,0.35,0.07,0.87,41.11,18500,180,0.33,0.04
99.55,0.02,1.32,69.3,5.86,12.0,10,1.3,0.86,0.33,0.07,0.88,42.22,19000,190,0.31,0.04
99.97,0.0,1.31,69.86,5.79,12.32,10,1.3,0.86,0.32,0.06,0.88,43.33,19500,200,0.3,0.04
99.95,0.0,1.29,70.04,5.71,12.64,10,1.27,0.85,0.32,0.06,0.88,44.44,20000,210,0.3,0.04
99.94,0.0,1.28,69.94,5.63,13.03,10,1.27,0.85,0.33,0.06,0.88,45.56,20500,220,0.3,0.04
99.83,0.01,1.3,69.16,5.49,13.49,10,1.29,0.85,0.33,0.06,0.88,46.67,21000,230,0.31,0.04
99.93,0.01,1.27,69.98,5.36,13.62,10,1.26,0.85,0.31,0.06,0.89,47.78,21500,240,0.3,0.03
99.94,0.0,1.22,70.88,5.24,13.89,10,1.21,0.85,0.32,0.06,0.88,48.89,22000,250,0.29,0.03
99.94,0.0,1.21,71.2,5.09,14.2,10,1.2,0.85,0.32,0.06,0.88,50.0,22500,260,0.29,0.03
99.89,0.01,1.2,71.54,5.0,14.51,10,1.19,0.85,0.32,0.06,0.88,51.11,23000,270,0.28,0.03
99.93,0.0,1.17,71.92,4.87,14.82,10,1.17,0.84,0.32,0.06,0.88,52.22,23500,280,0.28,0.03
99.89,0.01,1.16,71.68,4.79,15.12,10,1.15,0.84,0.32,0.06,0.88,53.33,24000,290,0.28,0.03
99.9,0.01,1.13,72.42,4.65,15.7,10,1.12,0.84,0.33,0.06,0.88,54.44,24500,300,0.28,0.03
99.88,0.01,1.11,72.74,4.55,15.79,10,1.11,0.84,0.32,0.06,0.89,55.56,25000,310,0.27,0.03
