Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
54.48,1.25,1.4,53.86,8.08,6.58,10,1.39,0.76,0.88,0.11,0.68,22.22,10000,5,0.46,0.06
81.87,0.54,1.44,58.0,7.99,6.9,10,1.44,0.79,0.67,0.09,0.76,23.33,10500,10,0.42,0.06
95.81,0.14,1.35,63.02,7.84,7.21,10,1.36,0.85,0.5,0.08,0.82,24.44,11000,15,0.37,0.05
99.34,0.03,1.4,64.8,7.74,7.54,10,1.39,0.86,0.42,0.07,0.85,25.56,11500,20,0.35,0.04
99.93,0.01,1.35,66.68,7.66,7.86,10,1.35,0.86,0.39,0.07,0.86,26.67,12000,25,0.33,0.04
99.91,0.01,1.39,66.18,7.6,8.18,10,1.39,0.86,0.38,0.07,0.86,27.78,12500,30,0.34,0.04
99.87,0.01,1.43,65.54,7.47,8.5,10,1.43,0.86,0.39,0.07,0.86,28.89,13000,35,0.34,0.04
99.88,0.01,1.41,66.38,7.29,8.81,10,1.41,0.86,0.36,0.07,0.87,30.0,13500,40,0.34,0.04
99.95,0.01,1.43,66.36,7.17,9.15,10,1.42,0.86,0.35,0.07,0.87,31.11,14000,45,0.34,0.03
99.8,0.01,1.54,64.24,7.08,9.45,10,1.53,0.86,0.36,0.07,0.87,32.22,14500,50,0.36,0.04
99.82,0.01,1.47,65.84,6.97,9.79,10,1.46,0.86,0.35,0.07,0.87,33.33,15000,55,0.34,0.04
98.4,0.05,1.61,63.14,6.86,10.12,10,1.61,0.85,0.37,0.08,0.86,34.44,15500,60,0.37,0.04
98.89,0.04,1.41,67.84,6.74,10.44,10,1.41,0.86,0.34,0.07,0.88,35.56,16000,65,0.32,0.04
99.77,0.01,1.37,68.8,6.63,10.77,10,1.37,0.86,0.34,0.07,0.87,36.67,16500,70,0.31,0.04
99.87,0.01,1.4,67.72,6.48,11.06,10,1.4,0.86,0.33,0.07,0.88,37.78,17000,75,0.32,0.03
99.82,0.01,1.37,68.56,6.46,11.38,10,1.36,0.86,0.32,0.07,0.88,38.89,17500,80,0.31,0.03
99.91,0.01,1.38,68.88,6.33,11.71,10,1.37,0.86,0.32,0.07,0.88,40.0,18000,85,0.31,0.03
97.66,0.08,1.49,65.9,6.18,12.05,10,1.47,0.85,0.37,0.07,0.86,41.11,18500,90,0.34,0.04
99.24,0.03,1.3,69.5,6.08,12.35,10,1.28,0.85,0.34,0.07,0.88,42.22,19000,95,0.3,0.03
99.88,0.01,1.32,69.28,5.97,12.67,10,1.3,0.85,0.33,0.07,0.88,43.33,19500,100,0.31,0.04
99.84,0.01,1.3,70.06,5.84,13.04,10,1.28,0.85,0.33,0.06,0.88,44.44,20000,105,0.3,0.04
99.9,0.01,1.27,70.4,5.73,13.33,10,1.26,0.85,0.32,0.06,0.88,45.56,20500,110,0.3,0.03
99.81,0.01,1.31,70.26,5.61,13.69,10,1.29,0.85,0.32,0.06,0.88,46.67,21000,115,0.3,0.04
99.87,0.01,1.27,70.36,5.47,13.96,10,1.25,0.85,0.32,0.06,0.88,47.78,21500,120,0.3,0.03
99.84,0.01,1.25,70.56,5.38,14.27,10,1.24,0.85,0.31,0.06,0.89,48.89,22000,125,0.29,0.04
99.84,0.01,1.26,70.5,5.27,14.61,10,1.24,0.85,0.32,0.06,0.88,50.0,22500,130,0.3,0.03
99.84,0.01,1.21,71.58,5.16,14.94,10,1.2,0.85,0.31,0.06,0.88,51.11,23000,135,0.28,0.03
99.81,0.01,1.24,71.12,5.03,15.26,10,1.23,0.85,0.31,0.06,0.89,52.22,23500,140,0.29,0.03
99.79,0.01,1.22,71.54,4.94,15.58,10,1.21,0.84,0.31,0.06,0.89,53.33,24000,145,0.28,0.03
99.79,0.01,1.23,71.7,4.8,15.89,10,1.21,0.84,0.31,0.06,0.89,54.44,24500,150,0.28,0.03
99.8,0.01,1.2,72.42,4.69,16.22,10,1.18,0.84,0.3,0.06,0.89,55.56,25000,155,0.28,0.03
