Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
69.57,0.87,1.44,58.7,7.9,6.38,10,1.43,0.83,0.61,0.09,0.78,22.22,10000,10,0.41,0.05
93.52,0.2,1.3,66.04,7.8,6.72,10,1.3,0.85,0.43,0.07,0.84,23.33,10500,20,0.34,0.03
99.82,0.01,1.22,68.98,7.66,7.0,10,1.22,0.86,0.38,0.07,0.86,24.44,11000,30,0.31,0.04
99.99,0.0,1.25,68.62,7.52,7.31,10,1.25,0.86,0.37,0.07,0.87,25.56,11500,40,0.31,0.04
99.99,0.0,1.27,68.64,7.45,7.63,10,1.26,0.86,0.36,0.07,0.87,26.67,12000,50,0.31,0.04
99.99,0.0,1.27,68.44,7.35,7.95,10,1.27,0.86,0.36,0.07,0.87,27.78,12500,60,0.32,0.04
99.89,0.01,1.39,67.34,7.16,8.26,10,1.38,0.86,0.36,0.07,0.87,28.89,13000,70,0.33,0.05
99.86,0.01,1.3,69.04,7.07,8.57,10,1.29,0.86,0.36,0.07,0.87,30.0,13500,80,0.31,0.04
99.98,0.0,1.3,69.36,7.0,8.88,10,1.29,0.86,0.35,0.07,0.87,31.11,14000,90,0.31,0.04
99.98,0.0,1.28,69.78,6.87,9.2,10,1.28,0.86,0.35,0.07,0.87,32.22,14500,100,0.3,0.04
99.98,0.0,1.3,69.06,6.82,9.51,10,1.3,0.86,0.35,0.07,0.87,33.33,15000,110,0.31,0.04
99.84,0.01,1.41,66.94,6.64,9.82,10,1.4,0.86,0.36,0.07,0.87,34.44,15500,120,0.33,0.04
99.83,0.01,1.28,69.1,6.61,10.12,10,1.28,0.86,0.34,0.07,0.87,35.56,16000,130,0.31,0.04
99.9,0.01,1.26,69.62,6.47,10.42,10,1.26,0.86,0.34,0.06,0.88,36.67,16500,140,0.3,0.04
99.89,0.01,1.29,69.42,6.31,10.75,10,1.29,0.86,0.33,0.06,0.88,37.78,17000,150,0.31,0.04
99.86,0.01,1.28,69.4,6.25,11.07,10,1.28,0.86,0.34,0.06,0.88,38.89,17500,160,0.31,0.04
99.87,0.01,1.27,69.52,6.08,11.37,10,1.27,0.86,0.33,0.06,0.88,40.0,18000,170,0.3,0.04
98.82,0.04,1.44,66.68,5.94,11.7,10,1.44,0.85,0.34,0.07,0.87,41.11,18500,180,0.33,0.04
99.65,0.01,1.17,71.8,5.88,11.99,10,1.18,0.86,0.32,0.06,0.88,42.22,19000,190,0.28,0.03
99.95,0.0,1.18,70.82,5.78,12.32,10,1.18,0.86,0.32,0.06,0.88,43.33,19500,200,0.29,0.03
99.96,0.0,1.16,71.96,5.64,12.63,10,1.16,0.86,0.32,0.06,0.89,44.44,20000,210,0.28,0.03
99.96,0.0,1.16,72.04,5.55,12.94,10,1.17,0.85,0.31,0.06,0.89,45.56,20500,220,0.28,0.03
99.84,0.01,1.19,71.12,5.47,13.26,10,1.2,0.85,0.32,0.06,0.89,46.67,21000,230,0.29,0.03
99.91,0.01,1.13,72.28,5.32,13.56,10,1.14,0.85,0.31,0.06,0.89,47.78,21500,240,0.28,0.03
99.94,0.0,1.11,72.92,5.19,13.88,10,1.11,0.85,0.31,0.06,0.89,48.89,22000,250,0.27,0.03
99.92,0.0,1.11,73.0,5.09,14.18,10,1.11,0.85,0.31,0.06,0.89,50.0,22500,260,0.27,0.03
99.9,0.01,1.08,73.28,4.96,14.49,10,1.08,0.85,0.31,0.06,0.89,51.11,23000,270,0.27,0.03
99.8,0.01,1.09,73.56,4.87,14.8,10,1.09,0.85,0.3,0.06,0.89,52.22,23500,280,0.26,0.03
99.9,0.01,1.08,73.62,4.79,15.13,10,1.08,0.85,0.3,0.06,0.89,53.33,24000,290,0.26,0.03
99.88,0.01,1.07,74.22,4.64,15.43,10,1.07,0.85,0.3,0.06,0.89,54.44,24500,300,0.26,0.03
99.87,0.01,1.04,73.48,4.55,15.76,10,1.04,0.85,0.31,0.06,0.89,55.56,25000,310,0.27,0.03
