Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
54.01,1.27,1.59,49.86,8.12,6.56,10,1.59,0.73,0.92,0.11,0.67,22.22,10000,5,0.5,0.05
80.51,0.57,1.23,60.92,8.01,6.92,10,1.24,0.82,0.68,0.09,0.76,23.33,10500,10,0.39,0.04
95.49,0.15,1.29,64.44,7.89,7.21,10,1.29,0.85,0.48,0.08,0.83,24.44,11000,15,0.36,0.04
99.54,0.03,1.29,66.78,7.77,7.54,10,1.28,0.85,0.42,0.07,0.85,25.56,11500,20,0.33,0.04
99.88,0.01,1.3,67.16,7.69,7.87,10,1.3,0.86,0.4,0.07,0.85,26.67,12000,25,0.33,0.04
99.95,0.01,1.37,66.56,7.53,8.19,10,1.37,0.86,0.38,0.07,0.86,27.78,12500,30,0.33,0.04
97.89,0.07,1.47,64.04,7.43,8.5,10,1.47,0.85,0.41,0.08,0.85,28.89,13000,35,0.36,0.04
98.68,0.05,1.36,66.98,7.32,8.83,10,1.36,0.86,0.38,0.07,0.86,30.0,13500,40,0.33,0.03
99.79,0.01,1.33,67.46,7.22,9.14,10,1.33,0.86,0.37,0.07,0.87,31.11,14000,45,0.33,0.04
99.9,0.01,1.32,68.0,7.08,9.48,10,1.32,0.86,0.37,0.07,0.87,32.22,14500,50,0.32,0.03
99.92,0.01,1.32,68.6,6.97,9.78,10,1.31,0.86,0.36,0.07,0.87,33.33,15000,55,0.31,0.03
99.8,0.01,1.46,66.1,6.84,10.11,10,1.45,0.86,0.35,0.07,0.87,34.44,15500,60,0.34,0.04
99.84,0.01,1.35,67.82,6.77,10.41,10,1.35,0.86,0.35,0.07,0.87,35.56,16000,65,0.32,0.04
99.85,0.01,1.34,68.1,6.67,10.75,10,1.34,0.86,0.35,0.07,0.87,36.67,16500,70,0.32,0.04
99.84,0.01,1.32,68.72,6.52,11.07,10,1.32,0.86,0.35,0.07,0.87,37.78,17000,75,0.31,0.03
99.84,0.01,1.32,68.38,6.4,11.4,10,1.33,0.86,0.34,0.07,0.88,38.89,17500,80,0.32,0.04
99.88,0.01,1.36,67.62,6.29,11.74,10,1.36,0.85,0.35,0.07,0.87,40.0,18000,85,0.32,0.04
98.1,0.06,1.39,67.4,6.16,12.07,10,1.38,0.84,0.36,0.07,0.86,41.11,18500,90,0.33,0.04
99.66,0.02,1.27,69.44,6.1,12.38,10,1.27,0.85,0.33,0.06,0.88,42.22,19000,95,0.31,0.03
99.84,0.01,1.23,69.76,5.96,12.69,10,1.24,0.85,0.33,0.06,0.88,43.33,19500,100,0.3,0.03
99.87,0.01,1.24,70.22,5.84,13.01,10,1.24,0.85,0.32,0.06,0.88,44.44,20000,105,0.3,0.03
99.91,0.01,1.23,70.76,5.73,13.34,10,1.24,0.85,0.32,0.06,0.88,45.56,20500,110,0.29,0.03
99.67,0.02,1.25,70.64,5.63,13.65,10,1.25,0.85,0.32,0.06,0.88,46.67,21000,115,0.29,0.03
99.79,0.01,1.22,70.3,5.49,13.97,10,1.22,0.85,0.31,0.06,0.89,47.78,21500,120,0.3,0.03
99.84,0.01,1.2,71.24,5.37,14.27,10,1.2,0.85,0.31,0.06,0.89,48.89,22000,125,0.29,0.03
99.84,0.01,1.23,71.32,5.26,14.63,10,1.23,0.84,0.31,0.06,0.89,50.0,22500,130,0.29,0.03
99.85,0.01,1.24,71.46,5.14,14.95,10,1.24,0.85,0.3,0.06,0.89,51.11,23000,135,0.29,0.03
99.68,0.02,1.17,72.08,5.03,15.24,10,1.17,0.84,0.3,0.06,0.89,52.22,23500,140,0.28,0.03
99.75,0.01,1.19,71.78,4.94,15.58,10,1.19,0.84,0.31,0.06,0.89,53.33,24000,145,0.28,0.03
99.7,0.01,1.23,71.96,4.79,15.91,10,1.23,0.84,0.29,0.06,0.89,54.44,24500,150,0.28,0.03
99.65,0.02,1.17,71.74,4.68,16.23,10,1.17,0.84,0.3,0.06,0.89,55.56,25000,155,0.28,0.03
