Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
70.01,0.84,1.33,62.28,6.0,4.54,10,1.33,0.82,0.5,0.08,0.82,22.22,10000,10,0.38,0.04
90.2,0.29,1.25,69.6,5.96,4.78,10,1.25,0.86,0.32,0.06,0.88,23.33,10500,20,0.3,0.02
96.93,0.09,1.3,71.56,5.84,4.97,10,1.29,0.88,0.24,0.06,0.91,24.44,11000,30,0.28,0.02
97.99,0.07,1.23,74.72,5.76,5.21,10,1.23,0.88,0.21,0.05,0.92,25.56,11500,40,0.25,0.02
98.34,0.06,1.16,76.32,5.61,5.41,10,1.16,0.88,0.2,0.05,0.93,26.67,12000,50,0.24,0.02
98.24,0.06,1.15,76.08,5.53,5.62,10,1.16,0.88,0.21,0.05,0.92,27.78,12500,60,0.24,0.02
97.6,0.08,1.2,75.24,5.47,5.87,10,1.21,0.88,0.2,0.05,0.93,28.89,13000,70,0.25,0.02
98.73,0.04,1.13,77.12,5.38,6.06,10,1.13,0.89,0.18,0.05,0.93,30.0,13500,80,0.23,0.02
98.91,0.04,1.09,78.34,5.34,6.3,10,1.1,0.89,0.17,0.05,0.94,31.11,14000,90,0.22,0.02
98.86,0.04,1.11,78.2,5.21,6.52,10,1.11,0.89,0.16,0.05,0.94,32.22,14500,100,0.22,0.02
98.77,0.04,1.08,78.08,5.07,6.75,10,1.08,0.89,0.18,0.05,0.93,33.33,15000,110,0.22,0.02
98.68,0.04,1.03,78.86,5.0,6.95,10,1.04,0.89,0.17,0.04,0.94,34.44,15500,120,0.21,0.02
99.07,0.03,1.01,78.96,5.01,7.18,10,1.01,0.89,0.16,0.04,0.94,35.56,16000,130,0.21,0.02
99.08,0.03,0.99,79.62,4.91,7.4,10,0.99,0.89,0.16,0.04,0.94,36.67,16500,140,0.2,0.01
99.02,0.03,0.97,80.68,4.82,7.62,10,0.97,0.89,0.15,0.04,0.95,37.78,17000,150,0.19,0.02
98.99,0.03,0.91,81.34,4.76,7.84,10,0.92,0.89,0.15,0.04,0.95,38.89,17500,160,0.19,0.02
99.02,0.03,0.96,80.18,4.6,8.07,10,0.96,0.89,0.15,0.04,0.94,40.0,18000,170,0.2,0.02
98.47,0.05,1.14,77.56,4.58,8.28,10,1.14,0.89,0.17,0.05,0.94,41.11,18500,180,0.22,0.02
98.65,0.05,0.94,81.36,4.47,8.51,10,0.95,0.89,0.13,0.04,0.95,42.22,19000,190,0.19,0.02
99.28,0.03,0.82,82.84,4.4,8.71,10,0.82,0.89,0.13,0.04,0.95,43.33,19500,200,0.17,0.01
99.28,0.03,0.86,82.42,4.29,8.93,10,0.86,0.89,0.14,0.04,0.95,44.44,20000,210,0.18,0.01
99.32,0.02,0.87,82.14,4.21,9.17,10,0.88,0.89,0.13,0.04,0.95,45.56,20500,220,0.18,0.01
99.09,0.03,0.86,81.76,4.13,9.38,10,0.86,0.89,0.16,0.04,0.94,46.67,21000,230,0.18,0.02
99.33,0.02,0.76,84.5,4.05,9.57,10,0.76,0.89,0.12,0.03,0.96,47.78,21500,240,0.16,0.01
99.41,0.02,0.8,83.78,3.97,9.81,10,0.81,0.89,0.12,0.03,0.96,48.89,22000,250,0.16,0.01
99.43,0.02,0.77,83.8,3.85,10.02,10,0.78,0.89,0.12,0.03,0.96,50.0,22500,260,0.16,0.01
99.34,0.02,0.82,83.32,3.84,10.26,10,0.83,0.89,0.12,0.03,0.95,51.11,23000,270,0.17,0.01
99.26,0.02,0.82,83.18,3.76,10.47,10,0.83,0.89,0.12,0.03,0.96,52.22,23500,280,0.17,0.01
99.4,0.02,0.8,84.18,3.65,10.66,10,0.81,0.89,0.11,0.03,0.96,53.33,24000,290,0.16,0.01
99.44,0.02,0.8,83.92,3.58,10.89,10,0.8,0.89,0.11,0.03,0.96,54.44,24500,300,0.16,0.01
99.5,0.02,0.76,84.82,3.48,11.13,10,0.76,0.89,0.11,0.03,0.96,55.56,25000,310,0.15,0.01
