Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
57.6,1.18,1.32,57.28,6.05,4.65,10,1.33,0.79,0.77,0.1,0.73,22.22,10000,5,0.43,0.05
78.11,0.64,1.1,67.1,6.02,4.89,10,1.1,0.83,0.55,0.07,0.81,23.33,10500,10,0.33,0.04
89.46,0.32,1.12,69.56,5.91,5.12,10,1.12,0.86,0.37,0.07,0.87,24.44,11000,15,0.3,0.03
93.47,0.2,1.15,71.96,5.83,5.33,10,1.15,0.87,0.31,0.06,0.89,25.56,11500,20,0.28,0.03
95.24,0.15,1.17,72.36,5.79,5.57,10,1.17,0.87,0.28,0.06,0.9,26.67,12000,25,0.28,0.03
96.02,0.13,1.21,72.46,5.7,5.79,10,1.21,0.88,0.26,0.06,0.9,27.78,12500,30,0.28,0.03
95.88,0.13,1.14,73.52,5.59,6.01,10,1.14,0.88,0.26,0.06,0.91,28.89,13000,35,0.26,0.02
97.25,0.09,1.13,75.0,5.48,6.22,10,1.12,0.88,0.24,0.05,0.91,30.0,13500,40,0.25,0.02
97.51,0.08,1.05,76.4,5.39,6.43,10,1.06,0.88,0.22,0.05,0.92,31.11,14000,45,0.24,0.02
97.56,0.08,1.0,77.24,5.29,6.68,10,1.0,0.89,0.23,0.05,0.92,32.22,14500,50,0.23,0.02
97.52,0.08,0.98,78.08,5.22,6.94,10,0.98,0.89,0.22,0.05,0.92,33.33,15000,55,0.22,0.02
97.68,0.08,0.96,78.28,5.14,7.13,10,0.97,0.89,0.2,0.05,0.93,34.44,15500,60,0.22,0.02
97.81,0.07,0.96,78.94,5.03,7.35,10,0.96,0.89,0.19,0.04,0.93,35.56,16000,65,0.21,0.02
98.0,0.07,0.96,78.18,4.94,7.57,10,0.95,0.89,0.2,0.05,0.93,36.67,16500,70,0.22,0.02
98.23,0.06,0.91,79.38,4.9,7.8,10,0.91,0.89,0.18,0.04,0.93,37.78,17000,75,0.21,0.01
98.16,0.06,0.92,79.92,4.77,8.02,10,0.92,0.89,0.18,0.04,0.93,38.89,17500,80,0.2,0.01
98.39,0.06,0.89,80.7,4.73,8.27,10,0.88,0.89,0.17,0.04,0.94,40.0,18000,85,0.19,0.02
96.98,0.1,0.95,78.1,4.63,8.5,10,0.95,0.89,0.21,0.05,0.92,41.11,18500,90,0.22,0.02
98.09,0.07,0.9,80.1,4.58,8.72,10,0.9,0.89,0.17,0.04,0.94,42.22,19000,95,0.2,0.02
98.58,0.05,0.93,80.1,4.47,8.95,10,0.94,0.89,0.16,0.04,0.94,43.33,19500,100,0.2,0.01
98.61,0.05,0.85,81.06,4.36,9.17,10,0.85,0.89,0.16,0.04,0.94,44.44,20000,105,0.19,0.01
98.62,0.05,0.89,81.22,4.34,9.41,10,0.89,0.89,0.16,0.04,0.94,45.56,20500,110,0.19,0.02
98.86,0.04,0.83,81.78,4.26,9.63,10,0.83,0.89,0.15,0.04,0.94,46.67,21000,115,0.18,0.01
98.79,0.04,0.87,81.42,4.07,9.82,10,0.86,0.89,0.15,0.04,0.94,47.78,21500,120,0.19,0.01
98.91,0.04,0.83,82.66,4.01,10.08,10,0.83,0.89,0.15,0.04,0.95,48.89,22000,125,0.17,0.01
98.83,0.04,0.82,81.8,3.93,10.3,10,0.83,0.89,0.15,0.04,0.95,50.0,22500,130,0.18,0.01
99.02,0.03,0.83,82.1,3.83,10.54,10,0.83,0.89,0.14,0.04,0.95,51.11,23000,135,0.18,0.01
98.9,0.04,0.78,82.8,3.76,10.76,10,0.79,0.89,0.15,0.04,0.95,52.22,23500,140,0.17,0.01
99.08,0.03,0.81,83.0,3.73,10.95,10,0.81,0.89,0.14,0.04,0.95,53.33,24000,145,0.17,0.02
99.09,0.03,0.77,83.36,3.66,11.21,10,0.77,0.89,0.13,0.03,0.95,54.44,24500,150,0.17,0.01
99.1,0.03,0.82,83.04,3.54,11.44,10,0.83,0.89,0.13,0.04,0.95,55.56,25000,155,0.17,0.02
