Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
69.14,0.86,1.3,63.22,-1.0,4.62,-1,1.3,-1.0,0.5,0.08,0.82,22.22,10000,10,0.37,0.04
89.57,0.31,1.14,71.82,6.25,5.51,10,1.14,0.8299999833106995,0.3,0.06,0.89,26.67,12000,20,0.28,0.03
94.61,0.17,1.09,75.7,5.96,6.4,10,1.09,0.8700000047683716,0.23,0.05,0.92,31.11,14000,30,0.24,0.02
95.82,0.13,1.09,76.64,5.58,7.3,10,1.1,0.8799999952316284,0.2,0.05,0.93,35.56,16000,40,0.23,0.02
96.5,0.11,0.95,78.4,5.27,8.21,10,0.96,0.8799999952316284,0.2,0.05,0.93,40.0,18000,50,0.22,0.01
97.23,0.09,0.96,79.54,4.86,9.09,10,0.96,0.8899999856948853,0.18,0.04,0.93,44.44,20000,60,0.2,0.01
97.61,0.08,0.88,81.22,4.49,9.98,10,0.88,0.8899999856948853,0.15,0.04,0.94,48.89,22000,70,0.19,0.01
97.92,0.07,0.82,82.12,4.2,10.88,10,0.83,0.8899999856948853,0.16,0.04,0.94,53.33,24000,80,0.18,0.01
98.11,0.06,0.78,82.62,3.86,11.79,10,0.78,0.8899999856948853,0.15,0.04,0.94,57.78,26000,90,0.17,0.01
98.68,0.04,0.81,82.98,3.44,12.69,10,0.81,0.8899999856948853,0.14,0.04,0.95,62.22,28000,100,0.17,0.01
99.12,0.03,0.82,83.72,3.1,13.59,10,0.82,0.8899999856948853,0.12,0.03,0.96,66.67,30000,110,0.16,0.01
99.12,0.03,0.76,83.76,2.79,14.47,10,0.77,0.8899999856948853,0.13,0.03,0.95,71.11,32000,120,0.16,0.01
99.33,0.02,0.82,84.26,2.39,15.38,10,0.83,0.8899999856948853,0.11,0.03,0.96,75.56,34000,130,0.16,0.01
99.36,0.02,0.76,85.02,2.04,16.27,10,0.76,0.8799999952316284,0.11,0.03,0.96,80.0,36000,140,0.15,0.01
99.48,0.02,0.77,85.06,1.71,17.16,10,0.78,0.8799999952316284,0.11,0.03,0.96,84.44,38000,150,0.15,0.01
99.84,0.01,0.75,85.8,1.36,18.06,10,0.76,0.8700000047683716,0.1,0.03,0.97,88.89,40000,160,0.14,0.01
99.45,0.02,0.73,85.2,0.99,18.98,10,0.73,0.8500000238418579,0.11,0.03,0.96,93.33,42000,170,0.15,0.01
99.62,0.01,0.78,84.88,0.69,19.85,10,0.78,0.8399999737739563,0.11,0.03,0.96,97.78,44000,180,0.15,0.01
99.44,0.02,0.81,83.84,0.28,20.31,10,0.82,0.7900000214576721,0.12,0.03,0.96,100.0,45000,190,0.16,0.01
