Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
68.87,0.87,1.43,61.34,-1.0,4.51,-1,1.42,-1.0,0.46,0.08,0.83,22.22,10000,10,0.39,0.03
89.04,0.32,1.08,71.98,5.95,5.38,10,1.08,0.8399999737739563,0.3,0.06,0.89,26.67,12000,20,0.28,0.02
94.36,0.17,1.1,75.04,5.61,6.25,10,1.09,0.8700000047683716,0.25,0.05,0.91,31.11,14000,30,0.25,0.02
95.98,0.13,1.11,75.84,5.25,7.12,10,1.1,0.8799999952316284,0.22,0.05,0.92,35.56,16000,40,0.24,0.02
96.44,0.11,1.02,77.64,4.98,8.01,10,1.01,0.8799999952316284,0.19,0.05,0.93,40.0,18000,50,0.22,0.02
97.18,0.09,0.94,80.04,4.61,8.9,10,0.93,0.8899999856948853,0.18,0.04,0.93,44.44,20000,60,0.2,0.02
97.62,0.08,0.95,80.26,4.25,9.75,10,0.94,0.8899999856948853,0.15,0.04,0.94,48.89,22000,70,0.2,0.01
97.74,0.07,0.88,81.22,3.95,10.64,10,0.87,0.8899999856948853,0.16,0.04,0.94,53.33,24000,80,0.19,0.01
98.28,0.06,0.84,82.08,3.57,11.51,10,0.85,0.8899999856948853,0.15,0.04,0.94,57.78,26000,90,0.18,0.01
98.65,0.04,0.89,82.26,3.27,12.39,10,0.89,0.8899999856948853,0.13,0.04,0.95,62.22,28000,100,0.18,0.01
99.06,0.03,0.84,83.46,2.93,13.25,10,0.82,0.8899999856948853,0.12,0.03,0.96,66.67,30000,110,0.17,0.01
99.19,0.03,0.84,83.86,2.62,14.13,10,0.83,0.8899999856948853,0.12,0.03,0.96,71.11,32000,120,0.16,0.01
99.33,0.02,0.82,83.82,2.29,15.01,10,0.81,0.8799999952316284,0.12,0.03,0.96,75.56,34000,130,0.16,0.01
99.49,0.02,0.83,83.64,1.96,15.86,10,0.83,0.8799999952316284,0.11,0.03,0.96,80.0,36000,140,0.16,0.01
99.44,0.02,0.85,83.32,1.61,16.73,10,0.85,0.8799999952316284,0.11,0.03,0.96,84.44,38000,150,0.17,0.01
99.54,0.01,0.9,83.1,1.28,17.66,10,0.9,0.8600000143051147,0.11,0.03,0.96,88.89,40000,160,0.17,0.02
99.55,0.01,0.82,83.76,0.95,18.49,10,0.82,0.8299999833106995,0.12,0.03,0.96,93.33,42000,170,0.16,0.01
99.65,0.01,0.83,84.28,0.61,19.33,10,0.82,0.7799999713897705,0.11,0.03,0.96,97.78,44000,180,0.16,0.01
99.58,0.01,0.78,84.46,0.28,19.78,10,0.77,0.6700000166893005,0.11,0.03,0.96,100.0,45000,190,0.16,0.02
