Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
69.23,0.86,1.28,63.06,-1.0,4.53,-1,1.28,-1.0,0.53,0.08,0.81,22.22,10000,10,0.37,0.03
89.89,0.3,1.25,70.36,6.0,5.39,10,1.26,0.8399999737739563,0.32,0.06,0.89,26.67,12000,20,0.3,0.03
94.54,0.17,1.26,72.12,5.64,6.27,10,1.27,0.8700000047683716,0.25,0.06,0.91,31.11,14000,30,0.28,0.02
96.23,0.12,1.06,76.36,5.33,7.15,10,1.07,0.8799999952316284,0.23,0.05,0.92,35.56,16000,40,0.24,0.02
96.53,0.11,1.04,76.98,5.04,8.05,10,1.05,0.8799999952316284,0.21,0.05,0.92,40.0,18000,50,0.23,0.02
97.1,0.09,1.03,77.66,4.63,8.91,10,1.03,0.8799999952316284,0.19,0.05,0.93,44.44,20000,60,0.22,0.02
97.67,0.08,0.95,79.06,4.34,9.79,10,0.95,0.8899999856948853,0.18,0.04,0.93,48.89,22000,70,0.21,0.01
97.83,0.07,0.94,80.8,3.97,10.67,10,0.94,0.8899999856948853,0.16,0.04,0.94,53.33,24000,80,0.19,0.02
98.16,0.06,0.89,81.0,3.63,11.54,10,0.89,0.8899999856948853,0.16,0.04,0.94,57.78,26000,90,0.19,0.01
98.42,0.05,0.93,80.4,3.29,12.42,10,0.93,0.8899999856948853,0.16,0.04,0.94,62.22,28000,100,0.2,0.02
98.86,0.04,0.89,82.0,2.96,13.3,10,0.89,0.8899999856948853,0.14,0.04,0.95,66.67,30000,110,0.18,0.01
99.08,0.03,0.87,82.5,2.66,14.17,10,0.86,0.8899999856948853,0.14,0.04,0.95,71.11,32000,120,0.18,0.01
99.35,0.02,0.86,83.6,2.31,15.06,10,0.86,0.8899999856948853,0.12,0.03,0.96,75.56,34000,130,0.16,0.01
99.39,0.02,0.88,82.58,1.97,15.91,10,0.89,0.8799999952316284,0.12,0.04,0.95,80.0,36000,140,0.17,0.01
99.47,0.02,0.85,83.34,1.64,16.81,10,0.85,0.8799999952316284,0.12,0.03,0.96,84.44,38000,150,0.17,0.01
99.58,0.01,0.84,83.04,1.29,17.67,10,0.85,0.8700000047683716,0.12,0.04,0.95,88.89,40000,160,0.17,0.01
99.56,0.01,0.88,83.22,1.02,18.57,10,0.88,0.8500000238418579,0.12,0.04,0.96,93.33,42000,170,0.17,0.01
99.67,0.01,0.89,83.18,0.62,19.43,10,0.89,0.8500000238418579,0.11,0.03,0.96,97.78,44000,180,0.17,0.01
99.59,0.01,0.8,84.0,0.28,20.02,10,0.81,0.800000011920929,0.11,0.03,0.96,100.0,45000,190,0.16,0.01
