Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
56.42,1.21,1.23,59.56,6.14,4.65,10,1.24,0.8,0.76,0.09,0.73,22.22,10000,5,0.4,0.05
78.67,0.62,1.2,66.14,5.98,4.89,10,1.2,0.84,0.5,0.08,0.82,23.33,10500,10,0.34,0.04
89.1,0.32,1.1,70.36,5.87,5.12,10,1.1,0.86,0.37,0.06,0.87,24.44,11000,15,0.3,0.03
93.92,0.18,1.1,72.06,5.82,5.35,10,1.1,0.87,0.34,0.06,0.88,25.56,11500,20,0.28,0.02
95.65,0.13,1.12,73.22,5.77,5.58,10,1.12,0.87,0.28,0.06,0.9,26.67,12000,25,0.27,0.02
96.39,0.12,1.08,73.86,5.64,5.8,10,1.09,0.87,0.26,0.05,0.91,27.78,12500,30,0.26,0.02
95.95,0.13,0.93,77.44,5.54,6.03,10,0.94,0.88,0.24,0.05,0.91,28.89,13000,35,0.23,0.02
97.42,0.08,0.96,77.92,5.47,6.22,10,0.97,0.88,0.23,0.05,0.92,30.0,13500,40,0.22,0.02
97.74,0.07,0.95,78.02,5.45,6.45,10,0.96,0.88,0.22,0.05,0.92,31.11,14000,45,0.22,0.02
97.68,0.08,1.0,77.34,5.32,6.68,10,1.01,0.88,0.22,0.05,0.92,32.22,14500,50,0.23,0.02
97.8,0.07,0.96,77.9,5.26,6.91,10,0.96,0.88,0.21,0.05,0.92,33.33,15000,55,0.22,0.01
97.84,0.07,0.97,77.38,5.17,7.13,10,0.98,0.88,0.21,0.05,0.92,34.44,15500,60,0.23,0.02
98.26,0.06,0.9,79.8,5.1,7.36,10,0.91,0.89,0.18,0.04,0.93,35.56,16000,65,0.2,0.02
98.1,0.06,0.92,79.64,4.95,7.58,10,0.92,0.89,0.19,0.04,0.93,36.67,16500,70,0.2,0.01
98.2,0.06,0.96,78.36,4.86,7.82,10,0.96,0.89,0.19,0.05,0.93,37.78,17000,75,0.22,0.01
98.16,0.06,0.94,79.38,4.81,8.03,10,0.95,0.89,0.17,0.04,0.94,38.89,17500,80,0.21,0.02
98.23,0.06,0.9,79.9,4.71,8.28,10,0.89,0.89,0.18,0.04,0.93,40.0,18000,85,0.2,0.02
98.2,0.06,0.83,81.46,4.65,8.54,10,0.84,0.89,0.17,0.04,0.94,41.11,18500,90,0.19,0.01
98.4,0.05,0.85,81.18,4.53,8.74,10,0.85,0.89,0.17,0.04,0.94,42.22,19000,95,0.19,0.01
98.44,0.05,0.87,81.02,4.47,8.93,10,0.87,0.89,0.18,0.04,0.94,43.33,19500,100,0.19,0.02
98.62,0.05,0.81,81.8,4.36,9.17,10,0.82,0.89,0.17,0.04,0.94,44.44,20000,105,0.18,0.01
98.45,0.05,0.85,81.88,4.29,9.41,10,0.85,0.89,0.16,0.04,0.94,45.56,20500,110,0.18,0.01
98.61,0.05,0.89,81.22,4.23,9.62,10,0.89,0.89,0.15,0.04,0.94,46.67,21000,115,0.19,0.01
98.75,0.04,0.81,82.7,4.14,9.86,10,0.81,0.89,0.15,0.04,0.95,47.78,21500,120,0.17,0.01
98.73,0.04,0.75,83.04,4.01,10.07,10,0.76,0.89,0.15,0.04,0.95,48.89,22000,125,0.17,0.01
98.82,0.04,0.78,83.48,3.95,10.29,10,0.78,0.89,0.14,0.03,0.95,50.0,22500,130,0.17,0.01
98.78,0.04,0.81,82.64,3.89,10.5,10,0.81,0.89,0.14,0.04,0.95,51.11,23000,135,0.17,0.01
98.81,0.04,0.79,83.2,3.81,10.76,10,0.79,0.89,0.15,0.04,0.95,52.22,23500,140,0.17,0.01
98.85,0.04,0.71,83.56,3.67,10.95,10,0.72,0.89,0.15,0.03,0.95,53.33,24000,145,0.16,0.01
98.97,0.03,0.75,83.66,3.63,11.22,10,0.76,0.89,0.14,0.03,0.95,54.44,24500,150,0.16,0.01
98.95,0.03,0.73,83.98,3.5,11.45,10,0.73,0.89,0.14,0.03,0.95,55.56,25000,155,0.16,0.01
