Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
70.37,0.82,1.29,64.44,-1.0,4.49,-1,1.3,-1.0,0.49,0.08,0.83,22.22,10000,10,0.36,0.04
91.45,0.25,1.17,72.3,5.9,5.38,10,1.18,0.8500000238418579,0.28,0.06,0.9,26.67,12000,20,0.28,0.03
96.43,0.11,1.24,73.1,5.59,6.25,10,1.25,0.8700000047683716,0.24,0.06,0.91,31.11,14000,30,0.27,0.03
97.67,0.08,1.14,74.72,5.28,7.12,10,1.15,0.8799999952316284,0.22,0.05,0.92,35.56,16000,40,0.25,0.03
97.93,0.07,1.09,76.04,4.95,8.0,10,1.1,0.8799999952316284,0.2,0.05,0.93,40.0,18000,50,0.24,0.02
98.4,0.05,1.11,77.4,4.61,8.89,10,1.11,0.8799999952316284,0.18,0.05,0.93,44.44,20000,60,0.23,0.02
98.57,0.05,1.03,77.8,4.28,9.73,10,1.04,0.8799999952316284,0.18,0.05,0.93,48.89,22000,70,0.22,0.02
98.67,0.04,1.01,79.26,3.94,10.63,10,1.02,0.8799999952316284,0.17,0.04,0.94,53.33,24000,80,0.21,0.02
98.71,0.04,0.99,80.14,3.59,11.5,10,0.99,0.8799999952316284,0.15,0.04,0.94,57.78,26000,90,0.2,0.02
98.93,0.04,0.9,81.46,3.27,12.37,10,0.91,0.8899999856948853,0.15,0.04,0.95,62.22,28000,100,0.19,0.02
98.97,0.03,0.9,81.44,2.94,13.24,10,0.9,0.8899999856948853,0.14,0.04,0.95,66.67,30000,110,0.19,0.02
99.04,0.03,0.86,82.16,2.6,14.11,10,0.87,0.8899999856948853,0.14,0.04,0.95,71.11,32000,120,0.18,0.02
99.02,0.03,0.76,83.54,2.27,15.01,10,0.77,0.8899999856948853,0.14,0.03,0.95,75.56,34000,130,0.16,0.01
99.04,0.03,0.87,82.66,1.94,15.88,10,0.87,0.8899999856948853,0.14,0.04,0.95,80.0,36000,140,0.17,0.01
99.14,0.03,0.81,83.38,1.61,16.74,10,0.82,0.8899999856948853,0.13,0.03,0.95,84.44,38000,150,0.17,0.01
99.17,0.03,0.81,82.82,1.27,17.64,10,0.81,0.8899999856948853,0.13,0.04,0.95,88.89,40000,160,0.17,0.01
99.19,0.03,0.77,84.1,0.93,18.51,10,0.77,0.8899999856948853,0.12,0.03,0.96,93.33,42000,170,0.16,0.01
99.24,0.03,0.69,85.36,0.61,19.4,10,0.69,0.8899999856948853,0.12,0.03,0.96,97.78,44000,180,0.15,0.01
99.31,0.02,0.75,84.44,0.27,19.82,10,0.75,0.8899999856948853,0.12,0.03,0.96,100.0,45000,190,0.16,0.01
