Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
57.48,1.18,1.3,56.36,6.0,4.66,10,1.3,0.77,0.89,0.1,0.69,22.22,10000,5,0.44,0.05
77.27,0.65,1.09,65.5,6.01,4.89,10,1.09,0.83,0.62,0.08,0.79,23.33,10500,10,0.34,0.03
89.68,0.3,1.08,70.1,5.9,5.11,10,1.08,0.86,0.41,0.07,0.85,24.44,11000,15,0.3,0.03
94.73,0.16,1.18,71.22,5.76,5.33,10,1.18,0.87,0.31,0.06,0.89,25.56,11500,20,0.29,0.03
96.32,0.11,1.2,71.22,5.73,5.56,10,1.19,0.87,0.3,0.06,0.89,26.67,12000,25,0.29,0.03
97.25,0.09,1.1,73.9,5.61,5.8,10,1.1,0.88,0.26,0.06,0.9,27.78,12500,30,0.26,0.02
97.48,0.08,1.15,74.0,5.58,6.02,10,1.14,0.87,0.26,0.06,0.91,28.89,13000,35,0.26,0.02
98.39,0.05,1.22,73.64,5.51,6.24,10,1.22,0.88,0.22,0.05,0.92,30.0,13500,40,0.26,0.02
98.52,0.05,1.12,75.62,5.43,6.47,10,1.11,0.88,0.21,0.05,0.92,31.11,14000,45,0.24,0.02
98.68,0.04,1.17,75.28,5.29,6.67,10,1.17,0.88,0.2,0.05,0.93,32.22,14500,50,0.25,0.02
98.67,0.04,1.12,75.94,5.27,6.92,10,1.1,0.88,0.21,0.05,0.92,33.33,15000,55,0.24,0.02
98.52,0.05,1.1,75.38,5.14,7.15,10,1.1,0.88,0.22,0.05,0.92,34.44,15500,60,0.25,0.02
98.72,0.04,1.02,77.82,5.05,7.35,10,1.01,0.88,0.2,0.05,0.93,35.56,16000,65,0.22,0.02
99.03,0.03,1.08,77.16,5.02,7.6,10,1.08,0.88,0.19,0.05,0.93,36.67,16500,70,0.23,0.02
99.01,0.04,1.05,76.9,4.91,7.8,10,1.05,0.88,0.2,0.05,0.93,37.78,17000,75,0.23,0.02
99.05,0.03,1.05,78.0,4.79,8.04,10,1.05,0.88,0.19,0.05,0.93,38.89,17500,80,0.22,0.02
98.95,0.04,1.05,77.24,4.76,8.25,10,1.04,0.88,0.2,0.05,0.93,40.0,18000,85,0.23,0.02
98.52,0.05,1.06,77.38,4.67,8.51,10,1.05,0.88,0.2,0.05,0.93,41.11,18500,90,0.23,0.02
99.26,0.03,1.02,78.18,4.56,8.71,10,1.01,0.88,0.19,0.05,0.93,42.22,19000,95,0.22,0.02
99.26,0.03,1.0,78.7,4.45,8.97,10,1.0,0.88,0.18,0.04,0.93,43.33,19500,100,0.21,0.02
99.05,0.03,1.01,78.28,4.39,9.18,10,1.01,0.88,0.19,0.05,0.93,44.44,20000,105,0.22,0.02
99.17,0.03,0.99,78.94,4.32,9.41,10,0.99,0.88,0.18,0.04,0.94,45.56,20500,110,0.21,0.02
99.14,0.03,0.97,79.72,4.21,9.67,10,0.96,0.89,0.17,0.04,0.94,46.67,21000,115,0.2,0.02
99.31,0.02,0.94,80.1,4.07,9.85,10,0.93,0.89,0.17,0.04,0.94,47.78,21500,120,0.2,0.01
99.34,0.02,0.97,79.84,4.03,10.05,10,0.96,0.89,0.16,0.04,0.94,48.89,22000,125,0.2,0.02
99.28,0.03,0.92,80.3,3.99,10.31,10,0.91,0.89,0.17,0.04,0.94,50.0,22500,130,0.2,0.02
99.4,0.02,0.91,81.02,3.87,10.55,10,0.9,0.89,0.16,0.04,0.94,51.11,23000,135,0.19,0.01
99.06,0.03,0.95,79.54,3.78,10.77,10,0.95,0.88,0.17,0.04,0.94,52.22,23500,140,0.2,0.02
99.33,0.02,0.91,80.66,3.68,10.99,10,0.9,0.89,0.16,0.04,0.94,53.33,24000,145,0.19,0.02
99.35,0.02,0.89,81.36,3.58,11.22,10,0.89,0.89,0.16,0.04,0.94,54.44,24500,150,0.19,0.02
99.41,0.02,0.86,80.78,3.54,11.42,10,0.85,0.89,0.16,0.04,0.94,55.56,25000,155,0.19,0.01
