Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
70.06,0.84,1.22,66.4,-1.0,4.62,-1,1.24,-1.0,0.46,0.07,0.84,22.22,10000,10,0.34,0.04
94.22,0.17,1.44,66.98,6.33,5.52,10,1.45,0.8500000238418579,0.3,0.07,0.89,26.67,12000,20,0.33,0.03
98.11,0.06,1.35,71.58,5.94,6.42,10,1.36,0.8600000143051147,0.23,0.06,0.92,31.11,14000,30,0.28,0.03
99.25,0.02,1.44,71.76,5.6,7.31,10,1.45,0.8700000047683716,0.22,0.06,0.92,35.56,16000,40,0.28,0.03
99.49,0.02,1.34,73.56,5.25,8.21,10,1.35,0.8700000047683716,0.2,0.05,0.93,40.0,18000,50,0.26,0.03
99.53,0.02,1.36,73.48,4.9,9.11,10,1.37,0.8700000047683716,0.19,0.05,0.93,44.44,20000,60,0.27,0.03
99.48,0.02,1.24,74.78,4.53,10.01,10,1.26,0.8700000047683716,0.18,0.05,0.93,48.89,22000,70,0.25,0.02
99.5,0.02,1.22,75.0,4.22,10.9,10,1.24,0.8700000047683716,0.18,0.05,0.93,53.33,24000,80,0.25,0.02
99.15,0.03,1.19,75.9,3.83,11.81,10,1.2,0.8600000143051147,0.19,0.05,0.93,57.78,26000,90,0.24,0.02
99.13,0.03,1.08,77.56,3.51,12.69,10,1.09,0.8600000143051147,0.18,0.05,0.94,62.22,28000,100,0.22,0.02
99.13,0.03,1.05,77.86,3.11,13.6,10,1.06,0.8600000143051147,0.18,0.05,0.94,66.67,30000,110,0.22,0.02
99.01,0.03,1.08,77.72,2.77,14.48,10,1.09,0.8500000238418579,0.17,0.05,0.94,71.11,32000,120,0.22,0.02
98.88,0.04,0.96,79.32,2.41,15.38,10,0.96,0.8500000238418579,0.17,0.04,0.94,75.56,34000,130,0.21,0.02
98.9,0.04,0.89,80.08,2.07,16.29,10,0.9,0.8399999737739563,0.16,0.04,0.94,80.0,36000,140,0.2,0.01
98.83,0.04,0.91,80.38,1.7,17.18,10,0.91,0.8399999737739563,0.16,0.04,0.94,84.44,38000,150,0.2,0.01
98.73,0.04,0.83,81.96,1.37,18.08,10,0.83,0.8500000238418579,0.15,0.04,0.95,88.89,40000,160,0.18,0.01
98.62,0.04,0.72,83.78,1.0,19.0,10,0.73,0.8299999833106995,0.15,0.03,0.95,93.33,42000,170,0.16,0.01
98.56,0.05,0.71,84.3,0.66,19.88,10,0.71,0.8199999928474426,0.14,0.03,0.95,97.78,44000,180,0.16,0.01
98.84,0.04,0.75,84.36,0.32,20.34,10,0.76,0.800000011920929,0.13,0.03,0.95,100.0,45000,190,0.16,0.01
