Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
57.38,1.18,1.42,56.4,6.02,4.65,10,1.41,0.8,0.74,0.1,0.74,22.22,10000,5,0.44,0.04
81.01,0.55,1.29,64.58,6.06,4.91,10,1.3,0.84,0.5,0.08,0.82,23.33,10500,10,0.35,0.04
91.17,0.26,1.28,68.22,5.91,5.12,10,1.28,0.85,0.36,0.07,0.87,24.44,11000,15,0.32,0.03
96.41,0.11,1.42,68.08,5.8,5.35,10,1.41,0.87,0.31,0.07,0.89,25.56,11500,20,0.32,0.03
97.68,0.07,1.42,70.2,5.76,5.55,10,1.41,0.87,0.25,0.06,0.91,26.67,12000,25,0.3,0.03
98.45,0.05,1.35,71.54,5.62,5.79,10,1.36,0.87,0.25,0.06,0.91,27.78,12500,30,0.28,0.03
99.01,0.03,1.41,71.58,5.58,6.03,10,1.41,0.87,0.23,0.06,0.92,28.89,13000,35,0.28,0.03
98.96,0.03,1.34,72.82,5.42,6.22,10,1.33,0.87,0.23,0.06,0.92,30.0,13500,40,0.27,0.03
99.82,0.01,1.44,72.72,5.44,6.45,10,1.44,0.88,0.2,0.06,0.93,31.11,14000,45,0.27,0.03
99.62,0.01,1.37,72.94,5.33,6.69,10,1.37,0.88,0.2,0.06,0.92,32.22,14500,50,0.27,0.03
99.85,0.01,1.36,73.98,5.25,6.92,10,1.37,0.88,0.19,0.05,0.93,33.33,15000,55,0.26,0.03
99.56,0.02,1.44,72.58,5.14,7.16,10,1.44,0.88,0.19,0.06,0.93,34.44,15500,60,0.27,0.02
99.47,0.02,1.39,73.26,5.06,7.38,10,1.39,0.88,0.2,0.06,0.93,35.56,16000,65,0.27,0.03
99.7,0.01,1.36,74.06,5.01,7.6,10,1.36,0.88,0.19,0.05,0.93,36.67,16500,70,0.26,0.03
99.79,0.01,1.39,73.34,4.94,7.82,10,1.38,0.88,0.2,0.06,0.93,37.78,17000,75,0.27,0.03
99.73,0.01,1.43,72.44,4.8,8.02,10,1.41,0.88,0.21,0.06,0.92,38.89,17500,80,0.28,0.03
99.69,0.01,1.28,74.36,4.74,8.27,10,1.27,0.87,0.2,0.05,0.93,40.0,18000,85,0.26,0.02
99.8,0.01,1.41,72.32,4.66,8.5,10,1.41,0.87,0.2,0.06,0.92,41.11,18500,90,0.28,0.03
99.33,0.02,1.3,73.36,4.57,8.72,10,1.3,0.87,0.2,0.05,0.93,42.22,19000,95,0.27,0.02
99.72,0.01,1.33,74.48,4.49,8.96,10,1.33,0.87,0.19,0.05,0.93,43.33,19500,100,0.26,0.03
99.77,0.01,1.24,74.9,4.43,9.18,10,1.24,0.87,0.19,0.05,0.93,44.44,20000,105,0.25,0.03
99.85,0.01,1.3,73.56,4.26,9.42,10,1.29,0.87,0.2,0.05,0.93,45.56,20500,110,0.26,0.03
99.82,0.01,1.28,74.64,4.17,9.64,10,1.27,0.87,0.19,0.05,0.93,46.67,21000,115,0.25,0.03
99.79,0.01,1.24,75.22,4.15,9.86,10,1.23,0.87,0.19,0.05,0.93,47.78,21500,120,0.25,0.03
99.61,0.01,1.26,74.56,4.09,10.09,10,1.24,0.87,0.2,0.05,0.93,48.89,22000,125,0.25,0.02
99.73,0.01,1.26,75.66,3.93,10.29,10,1.24,0.87,0.19,0.05,0.93,50.0,22500,130,0.24,0.03
99.76,0.01,1.31,74.6,3.85,10.52,10,1.29,0.86,0.18,0.05,0.94,51.11,23000,135,0.25,0.02
99.46,0.02,1.26,73.9,3.82,10.76,10,1.26,0.86,0.2,0.05,0.93,52.22,23500,140,0.26,0.03
99.57,0.01,1.2,75.64,3.72,10.99,10,1.2,0.87,0.18,0.05,0.93,53.33,24000,145,0.24,0.02
99.65,0.01,1.31,73.96,3.62,11.23,10,1.3,0.86,0.19,0.05,0.93,54.44,24500,150,0.26,0.03
99.55,0.02,1.17,76.6,3.5,11.42,10,1.16,0.86,0.19,0.05,0.93,55.56,25000,155,0.23,0.03
