Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
69.69,0.85,1.29,64.42,5.97,4.54,10,1.29,0.84,0.53,0.08,0.82,22.22,10000,10,0.36,0.05
90.47,0.29,1.08,71.1,5.93,4.77,10,1.08,0.86,0.39,0.06,0.86,23.33,10500,20,0.29,0.03
98.46,0.05,1.38,71.38,5.85,4.98,10,1.38,0.87,0.25,0.06,0.91,24.44,11000,30,0.29,0.04
99.06,0.03,1.42,72.1,5.74,5.19,10,1.41,0.88,0.21,0.06,0.92,25.56,11500,40,0.28,0.03
99.57,0.01,1.29,75.04,5.71,5.42,10,1.3,0.88,0.19,0.05,0.93,26.67,12000,50,0.25,0.03
99.91,0.0,1.45,73.54,5.55,5.63,10,1.45,0.88,0.19,0.06,0.93,27.78,12500,60,0.26,0.03
99.25,0.02,1.39,72.44,5.53,5.86,10,1.39,0.88,0.21,0.06,0.92,28.89,13000,70,0.28,0.04
99.61,0.01,1.28,75.06,5.4,6.08,10,1.27,0.88,0.18,0.05,0.93,30.0,13500,80,0.25,0.03
99.99,0.0,1.25,76.3,5.34,6.28,10,1.24,0.88,0.18,0.05,0.93,31.11,14000,90,0.24,0.03
99.99,0.0,1.24,76.2,5.26,6.51,10,1.23,0.88,0.18,0.05,0.93,32.22,14500,100,0.24,0.03
99.99,0.0,1.24,76.38,5.15,6.74,10,1.23,0.88,0.18,0.05,0.93,33.33,15000,110,0.24,0.03
99.55,0.01,1.27,74.52,5.1,6.97,10,1.26,0.88,0.2,0.05,0.93,34.44,15500,120,0.25,0.03
99.79,0.01,1.29,75.36,5.02,7.16,10,1.28,0.88,0.18,0.05,0.93,35.56,16000,130,0.25,0.03
99.94,0.0,1.26,75.6,4.95,7.42,10,1.25,0.88,0.18,0.05,0.93,36.67,16500,140,0.24,0.03
99.96,0.0,1.27,75.66,4.9,7.62,10,1.26,0.88,0.18,0.05,0.93,37.78,17000,150,0.24,0.03
99.85,0.01,1.34,74.62,4.69,7.84,10,1.33,0.88,0.18,0.05,0.93,38.89,17500,160,0.25,0.03
99.61,0.01,1.33,73.54,4.7,8.06,10,1.33,0.87,0.2,0.05,0.93,40.0,18000,170,0.26,0.03
98.75,0.04,1.15,75.06,4.59,8.29,10,1.14,0.87,0.23,0.05,0.92,41.11,18500,180,0.25,0.03
99.81,0.01,1.18,75.98,4.56,8.48,10,1.17,0.88,0.19,0.05,0.93,42.22,19000,190,0.24,0.03
99.97,0.0,1.2,76.16,4.38,8.71,10,1.2,0.87,0.18,0.05,0.94,43.33,19500,200,0.24,0.03
99.94,0.0,1.15,77.12,4.33,8.94,10,1.14,0.88,0.18,0.05,0.94,44.44,20000,210,0.23,0.03
99.87,0.0,1.31,74.68,4.29,9.18,10,1.31,0.87,0.18,0.05,0.93,45.56,20500,220,0.25,0.03
99.57,0.01,1.26,74.52,4.18,9.38,10,1.26,0.87,0.19,0.05,0.93,46.67,21000,230,0.25,0.03
99.73,0.01,1.2,76.3,4.07,9.59,10,1.2,0.87,0.17,0.05,0.94,47.78,21500,240,0.24,0.03
99.82,0.01,1.21,76.1,3.99,9.82,10,1.2,0.87,0.17,0.05,0.94,48.89,22000,250,0.24,0.02
99.71,0.01,1.17,76.62,3.91,10.06,10,1.16,0.87,0.17,0.05,0.94,50.0,22500,260,0.23,0.02
99.83,0.01,1.13,77.14,3.83,10.25,10,1.14,0.87,0.17,0.05,0.94,51.11,23000,270,0.23,0.03
99.57,0.02,1.21,75.5,3.72,10.49,10,1.21,0.87,0.19,0.05,0.93,52.22,23500,280,0.24,0.03
99.75,0.01,1.11,77.26,3.66,10.68,10,1.11,0.87,0.17,0.05,0.94,53.33,24000,290,0.23,0.02
99.82,0.01,1.22,76.9,3.59,10.93,10,1.22,0.86,0.16,0.05,0.94,54.44,24500,300,0.23,0.03
99.6,0.01,1.23,75.38,3.49,11.14,10,1.23,0.86,0.18,0.05,0.94,55.56,25000,310,0.25,0.03
