Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
69.55,0.86,1.23,65.38,-1.0,4.57,-1,1.23,-1.0,0.5,0.08,0.82,22.22,10000,10,0.35,0.04
93.79,0.18,1.22,71.76,5.9,5.57,10,1.22,0.8399999737739563,0.3,0.06,0.89,26.67,12000,20,0.28,0.03
98.28,0.05,1.29,71.7,5.72,6.3,10,1.3,0.8700000047683716,0.26,0.06,0.9,31.11,14000,30,0.28,0.04
99.24,0.02,1.27,74.02,5.36,7.16,10,1.27,0.8700000047683716,0.21,0.05,0.92,35.56,16000,40,0.26,0.03
99.4,0.02,1.27,74.56,4.98,8.07,10,1.27,0.8700000047683716,0.2,0.05,0.93,40.0,18000,50,0.25,0.03
99.51,0.02,1.28,74.6,4.65,8.95,10,1.28,0.8700000047683716,0.19,0.05,0.93,44.44,20000,60,0.25,0.03
99.37,0.02,1.31,74.1,4.32,9.81,10,1.3,0.8700000047683716,0.2,0.05,0.92,48.89,22000,70,0.26,0.03
99.26,0.03,1.12,76.62,4.03,10.7,10,1.12,0.8700000047683716,0.2,0.05,0.93,53.33,24000,80,0.23,0.02
99.27,0.03,1.13,76.16,3.64,11.56,10,1.14,0.8700000047683716,0.2,0.05,0.93,57.78,26000,90,0.24,0.02
99.26,0.03,1.07,77.06,3.34,12.42,10,1.07,0.8500000238418579,0.18,0.05,0.93,62.22,28000,100,0.23,0.02
99.14,0.03,1.08,77.8,2.99,13.32,10,1.08,0.8600000143051147,0.18,0.05,0.93,66.67,30000,110,0.22,0.02
99.1,0.03,1.0,78.16,2.64,14.25,10,1.0,0.8600000143051147,0.18,0.05,0.93,71.11,32000,120,0.22,0.02
98.95,0.04,1.01,77.8,2.5,15.28,10,1.0,0.8500000238418579,0.18,0.05,0.93,75.56,34000,130,0.22,0.02
98.85,0.04,0.85,80.88,1.94,15.96,10,0.85,0.8299999833106995,0.16,0.04,0.94,80.0,36000,140,0.19,0.01
98.8,0.04,0.87,82.0,1.63,16.88,10,0.87,0.8299999833106995,0.15,0.04,0.94,84.44,38000,150,0.18,0.01
98.76,0.04,0.8,82.34,1.29,17.76,10,0.8,0.8399999737739563,0.15,0.04,0.95,88.89,40000,160,0.18,0.01
98.58,0.05,0.79,82.62,0.97,18.65,10,0.79,0.8299999833106995,0.15,0.04,0.95,93.33,42000,170,0.17,0.01
98.49,0.05,0.73,83.3,0.73,19.71,10,0.72,0.8199999928474426,0.15,0.04,0.95,97.78,44000,180,0.17,0.01
98.77,0.04,0.73,83.96,0.34,20.51,10,0.73,0.800000011920929,0.13,0.03,0.95,100.0,45000,190,0.16,0.01
